host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Crossfire At,Ward 109,-34.09095,18.81593,Entire home/apt,2500.0,1,24,2022-03-06,0.28,17,331,0,Rental unit,Cape Town,4.79,2.0,2.0,2.0
Catherine,Ward 77,-33.94184,18.42685,Entire home/apt,700.0,30,8,2022-01-03,0.09,1,83,0,Condo,Cape Town,4.88,2.0,2.0,1.0
Colette,Ward 74,-34.01642,18.38911,Entire home/apt,1286.0,2,403,2023-12-17,4.61,2,0,65,Guesthouse,Cape Town,4.88,1.0,2.0,1.0
Andries,Ward 23,-33.72484,18.44388,Entire home/apt,3500.0,7,5,2023-01-02,0.08,1,329,1,Home,Cape Town,5.0,4.0,4.0,3.0
Marion,Ward 26,-33.90947,18.55937,Entire home/apt,800.0,2,76,2023-12-21,0.89,1,353,16,Rental unit,Cape Town,4.45,2.0,2.0,1.0
Ray And Sue,Ward 61,-34.19225,18.42833,Entire home/apt,3500.0,7,95,2023-12-04,1.16,1,84,11,Home,Cape Town,4.94,3.0,3.0,3.0
Malan,Ward 15,-34.06811,18.81682,Private room,1054.0,1,0,,,1,0,0,Home,Cape Town,,1.0,1.0,1.0
Dave,Ward 77,-33.93498,18.43,Entire home/apt,1700.0,7,1,2017-01-04,0.01,2,1,0,Home,Cape Town,,2.0,2.0,2.0
Nico,Ward 73,-34.04129,18.45356,Entire home/apt,5000.0,14,0,,,1,0,0,Home,Cape Town,,4.0,4.0,2.0
Grant,Ward 115,-33.92748,18.41539,Entire home/apt,2086.0,2,192,2023-12-26,2.2,3,240,16,Rental unit,Cape Town,4.89,No bedroom,1.0,1.0
Chanelle,Ward 4,-33.85832,18.49039,Entire home/apt,4800.0,5,27,2023-04-18,0.32,1,184,6,Home,Cape Town,5.0,3.0,3.0,3.0
Mario,Ward 107,-33.82091,18.47565,Entire home/apt,5000.0,16,0,,,1,350,0,Rental unit,Cape Town,,3.0,3.0,3.0
Meliza,Ward 115,-33.90044,18.41011,Entire home/apt,4300.0,2,2,2021-02-16,0.03,1,0,0,Rental unit,Cape Town,,1.0,2.0,1.0
Shirley,Ward 62,-34.00722,18.41608,Entire home/apt,1457.0,5,110,2023-11-25,1.28,3,20,5,Home,Cape Town,4.86,2.0,2.0,2.0
Colin,Ward 55,-33.88745,18.50943,Entire home/apt,3828.0,2,26,2023-10-30,0.3,5,333,6,Rental unit,Cape Town,4.81,2.0,4.0,2.0
Faye,Ward 15,-34.07317,18.84271,Entire home/apt,800.0,2,193,2023-12-14,2.19,1,0,20,Guesthouse,Cape Town,4.9,1.0,1.0,1.0
Birgit,Ward 54,-33.95185,18.3803,Entire home/apt,5147.0,2,171,2023-12-24,1.98,1,214,36,Guesthouse,Cape Town,4.97,3.0,7.0,2.0
Robin,Ward 54,-33.95347,18.38138,Entire home/apt,4500.0,12,5,2023-01-15,0.07,1,286,1,Home,Cape Town,4.2,4.0,4.0,4.0
Angela,Ward 64,-34.09252,18.47781,Entire home/apt,729.0,2,96,2023-11-28,1.11,1,304,17,Guesthouse,Cape Town,4.88,1.0,1.0,1.0
Andreas,Ward 83,-34.11202,18.8235,Entire home/apt,2346.0,5,27,2023-04-24,0.31,2,338,3,Rental unit,Cape Town,4.7,2.0,2.0,2.0
Susan,Ward 74,-34.01763,18.38046,Entire home/apt,6000.0,5,3,2023-01-08,0.04,1,94,1,Home,Cape Town,5.0,4.0,4.0,3.0
Ann-Mari,Ward 54,-33.92562,18.38041,Entire home/apt,7507.0,10,4,2022-01-07,0.05,2,34,0,Home,Cape Town,4.75,4.0,3.0,4.0
Sian,Ward 61,-34.13739599304664,18.331464944938944,Entire home/apt,1286.0,2,48,2023-12-21,0.57,1,132,10,Tiny home,Cape Town,4.83,1.0,1.0,1.0
Andrew & Janna,Ward 64,-34.12631,18.44539,Entire home/apt,900.0,3,32,2023-12-01,0.38,1,267,7,Guest suite,Cape Town,4.81,2.0,1.0,1.0
Dimi,Ward 54,-33.94345,18.37278,Entire home/apt,10000.0,7,3,2022-01-31,0.05,2,195,0,Villa,Cape Town,5.0,1.0,1.0,1.0
Michael,Ward 54,-33.92344,18.38612,Entire home/apt,5000.0,2,72,2023-11-28,0.83,2,310,7,Rental unit,Cape Town,5.0,2.0,3.0,2.0
Amanda,Ward 113,-33.8379,18.50465,Entire home/apt,843.0,7,45,2021-03-05,0.6,1,301,0,Rental unit,Cape Town,4.87,1.0,2.0,1.0
Wytske,Ward 69,-34.13919,18.35867,Private room,659.0,2,17,2023-04-29,0.2,1,352,9,Rental unit,Cape Town,4.82,No bedroom,1.0,1.0
Louis,Ward 115,-33.93401,18.41888,Entire home/apt,1400.0,2,76,2023-12-13,0.88,3,182,6,Rental unit,Cape Town,4.62,No bedroom,1.0,1.0
Duncan,Ward 69,-34.10159,18.36293,Private room,680.0,2,32,2023-02-26,0.37,4,341,3,Rental unit,Cape Town,4.72,1.0,1.0,1.0
Trevor  &   Carol,Ward 62,-34.03722,18.43454,Entire home/apt,650.0,2,96,2023-12-17,1.1,1,293,14,Rental unit,Cape Town,4.94,1.0,1.0,1.0
Jessica,Ward 57,-33.95181,18.47103,Private room,300.0,14,10,2023-09-15,0.41,10,267,3,Home,Cape Town,4.6,7.0,6.0,2.0
